Gene	Synonym	ENSG	Description	expression
AP2A1	"ADTAA, CLAPA1"	ENSG00000196961	Adaptor related protein complex 2 alpha 1 subunit	LowTissSpecExpdInBrain
AP2A2	"ADTAB, CLAPA2, DKFZP564D1864, HIP9, HYPJ, KIAA0899"	ENSG00000183020	Adaptor related protein complex 2 alpha 2 subunit	LowTissSpecExpdInBrain
AP2B1	"ADTB2, CLAPB1"	ENSG00000006125	Adaptor related protein complex 2 beta 1 subunit	LowTissSpecExpdInBrain
AP2M1	"AP50, CLAPM1, mu2"	ENSG00000161203	Adaptor related protein complex 2 mu 1 subunit	LowTissSpecExpdInBrain
AP2S1	"CLAPS2, FBH3, FBHOk, HHC3"	ENSG00000042753	Adaptor related protein complex 2 sigma 1 subunit	LowTissSpecExpdInBrain
AP3B1	"ADTB3A, HPS2"	ENSG00000132842	Adaptor related protein complex 3 beta 1 subunit	LowTissSpecExpdInBrain
AP3D1	ADTD	ENSG00000065000	Adaptor related protein complex 3 delta 1 subunit	LowTissSpecExpdInBrain
AP3M1		ENSG00000185009	Adaptor related protein complex 3 mu 1 subunit	LowTissSpecExpdInBrain
AP3M2	"AP47B, CLA20"	ENSG00000070718	Adaptor related protein complex 3 mu 2 subunit	LowTissSpecExpdInBrain
AP3S1	CLAPS3	ENSG00000177879	Adaptor related protein complex 3 sigma 1 subunit	LowTissSpecExpdInBrain
AP3S2	sigma3b	ENSG00000157823	Adaptor related protein complex 3 sigma 2 subunit	LowTissSpecExpdInBrain
AP4B1	"BETA-4, SPG47"	ENSG00000134262	Adaptor related protein complex 4 beta 1 subunit	LowTissSpecExpdInBrain
AP4E1	"AP-4-EPSILON, SPG51"	ENSG00000081014	Adaptor related protein complex 4 epsilon 1 subunit	LowTissSpecExpdInBrain
AP4M1	"MU-4, MU-ARP2, SPG50"	ENSG00000221838	Adaptor related protein complex 4 mu 1 subunit	LowTissSpecExpdInBrain
AP4S1	"AP47B, CLA20, SPG52"	ENSG00000100478	Adaptor related protein complex 4 sigma 1 subunit	LowTissSpecExpdInBrain
AP5M1	"C14orf108, FLJ10813, mu5, MuD, MUDENG"	ENSG00000053770	Adaptor related protein complex 5 mu 1 subunit	LowTissSpecExpdInBrain
AP5S1	"C20orf29, FLJ11168"	ENSG00000125843	Adaptor related protein complex 5 sigma 1 subunit	LowTissSpecExpdInBrain
AP5Z1	"KIAA0415, SPG48, zeta"	ENSG00000242802	Adaptor related protein complex 5 zeta 1 subunit	LowTissSpecExpdInBrain
APAF1	"APAF-1, CED4"	ENSG00000120868	Apoptotic peptidase activating factor 1	LowTissSpecExpdInBrain
APBA3	"mint3, X11L2"	ENSG00000011132	Amyloid beta precursor protein binding family A member 3	LowTissSpecExpdInBrain
APBB2	"FE65L, FE65L1, MGC35575"	ENSG00000163697	Amyloid beta precursor protein binding family B member 2	LowTissSpecExpdInBrain
APEH	"D3F15S2, D3S48E, DNF15S2"	ENSG00000164062	Acylaminoacyl-peptide hydrolase	LowTissSpecExpdInBrain
APEX1	"APE, APE-1, APEN, APEX, APX, HAP1, REF-1, REF1"	ENSG00000100823	Apurinic/apyrimidinic endodeoxyribonuclease 1	LowTissSpecExpdInBrain
APEX2	"APE2, APEXL2, XTH2, ZGRF2"	ENSG00000169188	Apurinic/apyrimidinic endodeoxyribonuclease 2	LowTissSpecExpdInBrain
APH1A	"APH-1A, CGI-78"	ENSG00000117362	"Aph-1 homolog A, gamma-secretase subunit"	LowTissSpecExpdInBrain
API5	"AAC-11, AAC11, API5L1"	ENSG00000166181	Apoptosis inhibitor 5	LowTissSpecExpdInBrain
APIP	"APIP2, CGI-29, Mmrp19"	ENSG00000149089	APAF1 interacting protein	LowTissSpecExpdInBrain
APLF	"C2orf13, MGC47799, Xip1, ZCCHH1"	ENSG00000169621	Aprataxin and PNKP like factor	LowTissSpecExpdInBrain
APLP2	"APPH, APPL2"	ENSG00000084234	Amyloid beta precursor like protein 2	LowTissSpecExpdInBrain
APOBEC3F	"ARP8, BK150C2.4.MRNA, KA6"	ENSG00000128394	Apolipoprotein B mRNA editing enzyme catalytic subunit 3F	LowTissSpecExpdInBrain
APOL1	APOL	ENSG00000100342	Apolipoprotein L1	LowTissSpecExpdInBrain
APOL2	APOL-II	ENSG00000128335	Apolipoprotein L2	LowTissSpecExpdInBrain
APOL3	"APOLIII, CG12-1"	ENSG00000128284	Apolipoprotein L3	LowTissSpecExpdInBrain
APOL4	APOLIV	ENSG00000100336	Apolipoprotein L4	LowTissSpecExpdInBrain
APOL6	"APOL-VI, APOLVI"	ENSG00000221963	Apolipoprotein L6	LowTissSpecExpdInBrain
APOO	"FAM121B, MGC4825, Mic23, MIC26, My025"	ENSG00000184831	Apolipoprotein O	LowTissSpecExpdInBrain
APOOL	"AAIR8193, CXorf33, FAM121A, Mic27, UNQ8193"	ENSG00000155008	Apolipoprotein O like	LowTissSpecExpdInBrain
APOPT1	"APOP-1, C14orf153, MGC2562"	ENSG00000256053	"Apoptogenic 1, mitochondrial"	LowTissSpecExpdInBrain
APP	AD1	ENSG00000142192	Amyloid beta precursor protein	LowTissSpecExpdInBrain
APPBP2	"Hs.84084, KIAA0228, PAT1"	ENSG00000062725	Amyloid beta precursor protein binding protein 2	LowTissSpecExpdInBrain
APPL1	APPL	ENSG00000157500	"Adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1"	LowTissSpecExpdInBrain
APPL2	"DIP13B, FLJ10659"	ENSG00000136044	"Adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2"	LowTissSpecExpdInBrain
APRT		ENSG00000198931	Adenine phosphoribosyltransferase	LowTissSpecExpdInBrain
APTX	"AOA, AOA1, AXA1, EAOH, EOAHA, FLJ20157"	ENSG00000137074	Aprataxin	LowTissSpecExpdInBrain
AQR	"fSAP164, IBP160, KIAA0560"	ENSG00000021776	Aquarius intron-binding spliceosomal factor	LowTissSpecExpdInBrain
ARAF	ARAF1	ENSG00000078061	"A-Raf proto-oncogene, serine/threonine kinase"	LowTissSpecExpdInBrain
ARAP1	CENTD2	ENSG00000186635	"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1"	LowTissSpecExpdInBrain
ARAP3	"CENTD3, DRAG1, FLJ21065"	ENSG00000120318	"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3"	LowTissSpecExpdInBrain
ARCN1	COPD	ENSG00000095139	Archain 1	LowTissSpecExpdInBrain
AREL1	"FIEL1, KIAA0317"	ENSG00000119682	Apoptosis resistant E3 ubiquitin protein ligase 1	LowTissSpecExpdInBrain
ARF1		ENSG00000143761	ADP ribosylation factor 1	LowTissSpecExpdInBrain
ARF4	ARF2	ENSG00000168374	ADP ribosylation factor 4	LowTissSpecExpdInBrain
ARF5		ENSG00000004059	ADP ribosylation factor 5	LowTissSpecExpdInBrain
ARF6		ENSG00000165527	ADP ribosylation factor 6	LowTissSpecExpdInBrain
ARFGAP1	"ARF1GAP, bA261N11.3, FLJ10767"	ENSG00000101199	ADP ribosylation factor GTPase activating protein 1	LowTissSpecExpdInBrain
ARFGAP2	"FLJ14576, IRZ, Zfp289, ZNF289"	ENSG00000149182	ADP ribosylation factor GTPase activating protein 2	LowTissSpecExpdInBrain
ARFGAP3	ARFGAP1	ENSG00000242247	ADP ribosylation factor GTPase activating protein 3	LowTissSpecExpdInBrain
ARFGEF1	"ARFGEP1, BIG1, DKFZP434L057, p200"	ENSG00000066777	ADP ribosylation factor guanine nucleotide exchange factor 1	LowTissSpecExpdInBrain
ARFIP1	HSU52521	ENSG00000164144	ADP ribosylation factor interacting protein 1	LowTissSpecExpdInBrain
ARFIP2	POR1	ENSG00000132254	ADP ribosylation factor interacting protein 2	LowTissSpecExpdInBrain
ARFRP1	"ARL18, ARP, Arp1"	ENSG00000101246	ADP ribosylation factor related protein 1	LowTissSpecExpdInBrain
ARGLU1	FLJ10154	ENSG00000134884	Arginine and glutamate rich 1	LowTissSpecExpdInBrain
ARHGAP1	"CDC42GAP, p50rhoGAP, RhoGAP"	ENSG00000175220	Rho GTPase activating protein 1	LowTissSpecExpdInBrain
ARHGAP10	"FLJ20896, FLJ41791, GRAF2"	ENSG00000071205	Rho GTPase activating protein 10	LowTissSpecExpdInBrain
ARHGAP12	"FLJ10971, FLJ20737, FLJ21785"	ENSG00000165322	Rho GTPase activating protein 12	LowTissSpecExpdInBrain
ARHGAP17	"FLJ10308, FLJ13219, NADRIN, RICH1, WBP15"	ENSG00000140750	Rho GTPase activating protein 17	LowTissSpecExpdInBrain
ARHGAP18	"bA307O14.2, MacGAP"	ENSG00000146376	Rho GTPase activating protein 18	LowTissSpecExpdInBrain
ARHGAP20	KIAA1391	ENSG00000137727	Rho GTPase activating protein 20	LowTissSpecExpdInBrain
ARHGAP26	"GRAF, KIAA0621, OPHN1L, OPHN1L1"	ENSG00000145819	Rho GTPase activating protein 26	LowTissSpecExpdInBrain
ARHGAP29	PARG1	ENSG00000137962	Rho GTPase activating protein 29	LowTissSpecExpdInBrain
ARHGAP31	CDGAP	ENSG00000031081	Rho GTPase activating protein 31	LowTissSpecExpdInBrain
ARHGAP33	"FLJ39019, SNX26, TCGAP"	ENSG00000004777	Rho GTPase activating protein 33	LowTissSpecExpdInBrain
ARHGAP35	"GRF-1, GRLF1, KIAA1722, P190A, p190ARhoGAP, p190RhoGAP"	ENSG00000160007	Rho GTPase activating protein 35	LowTissSpecExpdInBrain
ARHGAP5	"GFI2, p190-B, p190BRhoGAP, RhoGAP5"	ENSG00000100852	Rho GTPase activating protein 5	LowTissSpecExpdInBrain
ARHGDIA	"GDIA1, RHOGDI"	ENSG00000141522	Rho GDP dissociation inhibitor alpha	LowTissSpecExpdInBrain
ARHGEF10	"Gef10, KIAA0294"	ENSG00000104728	Rho guanine nucleotide exchange factor 10	LowTissSpecExpdInBrain
ARHGEF11	"GTRAP48, KIAA0380, PDZ-RHOGEF"	ENSG00000132694	Rho guanine nucleotide exchange factor 11	LowTissSpecExpdInBrain
ARHGEF12	"KIAA0382, LARG"	ENSG00000196914	Rho guanine nucleotide exchange factor 12	LowTissSpecExpdInBrain
ARHGEF17	"KIAA0337, p164-RhoGEF, TEM4"	ENSG00000110237	Rho guanine nucleotide exchange factor 17	LowTissSpecExpdInBrain
ARHGEF18	"KIAA0521, MGC15913, P114-RhoGEF"	ENSG00000104880	Rho/Rac guanine nucleotide exchange factor 18	LowTissSpecExpdInBrain
ARHGEF19	"FLJ33962, WGEF"	ENSG00000142632	Rho guanine nucleotide exchange factor 19	LowTissSpecExpdInBrain
ARHGEF2	"GEF-H1, KIAA0651, LFP40, P40"	ENSG00000116584	Rho/Rac guanine nucleotide exchange factor 2	LowTissSpecExpdInBrain
ARHGEF25	"GEFT, p63RhoGEF"	ENSG00000240771	Rho guanine nucleotide exchange factor 25	LowTissSpecExpdInBrain
ARHGEF26	"DKFZP434D146, SGEF"	ENSG00000114790	Rho guanine nucleotide exchange factor 26	LowTissSpecExpdInBrain
ARHGEF3	"DKFZP434F2429, GEF3, STA3, XPLN"	ENSG00000163947	Rho guanine nucleotide exchange factor 3	LowTissSpecExpdInBrain
ARHGEF40	"FLJ10357, solo"	ENSG00000165801	Rho guanine nucleotide exchange factor 40	LowTissSpecExpdInBrain
ARHGEF5	"GEF5, P60, TIM, TIM1"	ENSG00000050327	Rho guanine nucleotide exchange factor 5	LowTissSpecExpdInBrain
ARHGEF6	"alpha-PIX, alphaPIX, Cool-2, Cool2, KIAA0006, MRX46"	ENSG00000129675	Rac/Cdc42 guanine nucleotide exchange factor 6	LowTissSpecExpdInBrain
ARHGEF7	"BETA-PIX, COOL1, DKFZp686C12170, DKFZp761K1021, KIAA0142, Nbla10314, P50, P50BP, P85, P85COOL1, P85SPR, PAK3, PIXB"	ENSG00000102606	Rho guanine nucleotide exchange factor 7	LowTissSpecExpdInBrain
ARID1A	"B120, BAF250, BAF250a, C10rf4, C1orf4, P270, SMARCF1"	ENSG00000117713	AT-rich interaction domain 1A	LowTissSpecExpdInBrain
ARID1B	"6A3-5, BAF250b, DAN15, ELD/OSA1, KIAA1235, p250R"	ENSG00000049618	AT-rich interaction domain 1B	LowTissSpecExpdInBrain
ARID2	"BAF200, DKFZp686G052, FLJ30619, KIAA1557"	ENSG00000189079	AT-rich interaction domain 2	LowTissSpecExpdInBrain
ARID3B	"BDP, DRIL2"	ENSG00000179361	AT-rich interaction domain 3B	LowTissSpecExpdInBrain
ARID4A	"RBBP1, RBP-1, RBP1"	ENSG00000032219	AT-rich interaction domain 4A	LowTissSpecExpdInBrain
ARID4B	"BCAA, BRCAA1, RBP1L1, SAP180"	ENSG00000054267	AT-rich interaction domain 4B	LowTissSpecExpdInBrain
ARID5A	"MRF-1, RP11-363D14"	ENSG00000196843	AT-rich interaction domain 5A	LowTissSpecExpdInBrain
ARIH1	"ARI, HARI, HHARI, UBCH7BP"	ENSG00000166233	Ariadne RBR E3 ubiquitin protein ligase 1	LowTissSpecExpdInBrain
ARIH2	TRIAD1	ENSG00000177479	Ariadne RBR E3 ubiquitin protein ligase 2	LowTissSpecExpdInBrain
ARIH2OS	C3orf71	ENSG00000221883	Ariadne RBR E3 ubiquitin protein ligase 2 opposite strand	LowTissSpecExpdInBrain
ARL1	ARFL1	ENSG00000120805	ADP ribosylation factor like GTPase 1	LowTissSpecExpdInBrain
ARL10	ARL10A	ENSG00000175414	ADP ribosylation factor like GTPase 10	LowTissSpecExpdInBrain
ARL13B	"ARL2L1, DKFZp761H079, JBTS8"	ENSG00000169379	ADP ribosylation factor like GTPase 13B	LowTissSpecExpdInBrain
ARL14EP	"ARF7EP, C11orf46, FLJ38968"	ENSG00000152219	ADP ribosylation factor like GTPase 14 effector protein	LowTissSpecExpdInBrain
ARL15	"ARFRP2, FLJ20051"	ENSG00000185305	ADP ribosylation factor like GTPase 15	LowTissSpecExpdInBrain
ARL16		ENSG00000214087	ADP ribosylation factor like GTPase 16	LowTissSpecExpdInBrain
ARL17A	"ARF1P2, ARL17P1"	ENSG00000185829	ADP ribosylation factor like GTPase 17A	LowTissSpecExpdInBrain
ARL17B	ARL17	ENSG00000228696	ADP ribosylation factor like GTPase 17B	LowTissSpecExpdInBrain
ARL2	ARFL2	ENSG00000213465	ADP ribosylation factor like GTPase 2	LowTissSpecExpdInBrain
ARL2BP	"BART, BART1, RP66"	ENSG00000102931	ADP ribosylation factor like GTPase 2 binding protein	LowTissSpecExpdInBrain
ARL3	ARFL3	ENSG00000138175	ADP ribosylation factor like GTPase 3	LowTissSpecExpdInBrain
ARL4D	ARF4L	ENSG00000175906	ADP ribosylation factor like GTPase 4D	LowTissSpecExpdInBrain
ARL5A	ARL5	ENSG00000162980	ADP ribosylation factor like GTPase 5A	LowTissSpecExpdInBrain
ARL5B	ARL8	ENSG00000165997	ADP ribosylation factor like GTPase 5B	LowTissSpecExpdInBrain
ARL6	"BBS3, RP55"	ENSG00000113966	ADP ribosylation factor like GTPase 6	LowTissSpecExpdInBrain
ARL6IP1	"AIP1, ARL6IP, ARMER, KIAA0069, SPG61"	ENSG00000170540	ADP ribosylation factor like GTPase 6 interacting protein 1	LowTissSpecExpdInBrain
ARL6IP4	"SFRS20, SR-25, SRp25, SRrp37"	ENSG00000182196	ADP ribosylation factor like GTPase 6 interacting protein 4	LowTissSpecExpdInBrain
ARL6IP5	"DERP11, GTRAP3-18, HSPC127, JWA, PRAF3, Yip6b"	ENSG00000144746	ADP ribosylation factor like GTPase 6 interacting protein 5	LowTissSpecExpdInBrain
ARL8A	"ARL10B, FLJ45195, Gie2"	ENSG00000143862	ADP ribosylation factor like GTPase 8A	LowTissSpecExpdInBrain
ARL8B	"ARL10C, FLJ10702, Gie1"	ENSG00000134108	ADP ribosylation factor like GTPase 8B	LowTissSpecExpdInBrain
ARMC1	"Arcp, FLJ10511"	ENSG00000104442	Armadillo repeat containing 1	LowTissSpecExpdInBrain
ARMC10	"MGC3195, SVH"	ENSG00000170632	Armadillo repeat containing 10	LowTissSpecExpdInBrain
ARMC5	FLJ13063	ENSG00000140691	Armadillo repeat containing 5	LowTissSpecExpdInBrain
ARMC7	FLJ22160	ENSG00000125449	Armadillo repeat containing 7	LowTissSpecExpdInBrain
ARMC8	"DKFZP434A043, GID5, HSPC056, VID28"	ENSG00000114098	Armadillo repeat containing 8	LowTissSpecExpdInBrain
ARMCX1	"ALEX1, GASP7"	ENSG00000126947	"Armadillo repeat containing, X-linked 1"	LowTissSpecExpdInBrain
ARMCX3	"ALEX3, GASP6"	ENSG00000102401	"Armadillo repeat containing, X-linked 3"	LowTissSpecExpdInBrain
ARMCX5	"FLJ12969, GASP5"	ENSG00000125962	"Armadillo repeat containing, X-linked 5"	LowTissSpecExpdInBrain
ARMCX6	"FLJ20811, GASP10"	ENSG00000198960	"Armadillo repeat containing, X-linked 6"	LowTissSpecExpdInBrain
ARMT1	"C6orf211, FLJ12910"	ENSG00000146476	Acidic residue methyltransferase 1	LowTissSpecExpdInBrain
ARNT	"bHLHe2, HIF-1beta"	ENSG00000143437	Aryl hydrocarbon receptor nuclear translocator	LowTissSpecExpdInBrain
ARNTL	"bHLHe5, BMAL1, JAP3, MOP3, PASD3"	ENSG00000133794	Aryl hydrocarbon receptor nuclear translocator like	LowTissSpecExpdInBrain
ARPC1A	"Arc40, SOP2Hs, SOP2L"	ENSG00000241685	Actin related protein 2/3 complex subunit 1A	LowTissSpecExpdInBrain
ARPC2	"ARC34, p34-Arc"	ENSG00000163466	Actin related protein 2/3 complex subunit 2	LowTissSpecExpdInBrain
ARPC3	"ARC21, p21-Arc"	ENSG00000111229	Actin related protein 2/3 complex subunit 3	LowTissSpecExpdInBrain
ARPC4	"ARC20, p20-Arc"	ENSG00000241553	Actin related protein 2/3 complex subunit 4	LowTissSpecExpdInBrain
ARPC4-TTLL3		ENSG00000250151	ARPC4-TTLL3 readthrough	LowTissSpecExpdInBrain
ARPC5L	"ARC16-2, MGC3038"	ENSG00000136950	Actin related protein 2/3 complex subunit 5 like	LowTissSpecExpdInBrain
ARPIN	"C15orf38, MGC61550"	ENSG00000242498	Actin related protein 2/3 complex inhibitor	LowTissSpecExpdInBrain
ARRB1	ARR1	ENSG00000137486	Arrestin beta 1	LowTissSpecExpdInBrain
ARRDC1	MGC40555	ENSG00000197070	Arrestin domain containing 1	LowTissSpecExpdInBrain
ARRDC3	"KIAA1376, TLIMP"	ENSG00000113369	Arrestin domain containing 3	LowTissSpecExpdInBrain
ARSA		ENSG00000100299	Arylsulfatase A	LowTissSpecExpdInBrain
ARSB		ENSG00000113273	Arylsulfatase B	LowTissSpecExpdInBrain
ARSD		ENSG00000006756	Arylsulfatase D	LowTissSpecExpdInBrain
ARSJ	FLJ23548	ENSG00000180801	Arylsulfatase family member J	LowTissSpecExpdInBrain
ARSK	"DKFZp313G1735, TSULF"	ENSG00000164291	Arylsulfatase family member K	LowTissSpecExpdInBrain
ARV1		ENSG00000173409	"ARV1 homolog, fatty acid homeostasis modulator"	LowTissSpecExpdInBrain
ASAH1	"AC, ACDase, ASAH, FLJ21558, PHP32"	ENSG00000104763	N-acylsphingosine amidohydrolase 1	LowTissSpecExpdInBrain
ASAP1	"CENTB4, DDEF1, KIAA1249, PAP, ZG14P"	ENSG00000153317	"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1"	LowTissSpecExpdInBrain
ASAP2	"CENTB3, DDEF2, KIAA0400, PAP, SHAG1"	ENSG00000151693	"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2"	LowTissSpecExpdInBrain
ASAP3	"CENTB6, DDEFL1, FLJ20199, UPLC1"	ENSG00000088280	"ArfGAP with SH3 domain, ankyrin repeat and PH domain 3"	LowTissSpecExpdInBrain
ASB1	ASB-1	ENSG00000065802	Ankyrin repeat and SOCS box containing 1	LowTissSpecExpdInBrain
ASB13	"FLJ13134, MGC19879"	ENSG00000196372	Ankyrin repeat and SOCS box containing 13	LowTissSpecExpdInBrain
ASB3	ASB-3	ENSG00000115239	Ankyrin repeat and SOCS box containing 3	LowTissSpecExpdInBrain
ASB6		ENSG00000148331	Ankyrin repeat and SOCS box containing 6	LowTissSpecExpdInBrain
ASB7		ENSG00000183475	Ankyrin repeat and SOCS box containing 7	LowTissSpecExpdInBrain
ASCC1	"ASC1p50, CGI-18, Em:AC022392.3"	ENSG00000138303	Activating signal cointegrator 1 complex subunit 1	LowTissSpecExpdInBrain
ASCC2	"ASC1p100, DKFZp586O0223, FLJ21588"	ENSG00000100325	Activating signal cointegrator 1 complex subunit 2	LowTissSpecExpdInBrain
ASCC3	"ASC1p200, dJ121G13.4, dJ467N11.1, HELIC1, RNAH"	ENSG00000112249	Activating signal cointegrator 1 complex subunit 3	LowTissSpecExpdInBrain
ASF1A	"CIA, DKFZP547E2110"	ENSG00000111875	Anti-silencing function 1A histone chaperone	LowTissSpecExpdInBrain
ASH1L	"ASH1, ASH1L1, huASH1, KMT2H"	ENSG00000116539	ASH1 like histone lysine methyltransferase	LowTissSpecExpdInBrain
ASH2L	"ASH2, ASH2L1, ASH2L2, Bre2"	ENSG00000129691	ASH2 like histone lysine methyltransferase complex subunit	LowTissSpecExpdInBrain
ASMTL		ENSG00000169093	Acetylserotonin O-methyltransferase like	LowTissSpecExpdInBrain
ASNA1	"ARSA-I, GET3, TRC40"	ENSG00000198356	"ArsA arsenite transporter, ATP-binding, homolog 1 (bacterial)"	LowTissSpecExpdInBrain
ASNSD1	"FLJ20752, NBLA00058, NS3TP1"	ENSG00000138381	Asparagine synthetase domain containing 1	LowTissSpecExpdInBrain
ASPH	"BAH, CASQ2BP1, HAAH, JCTN"	ENSG00000198363	Aspartate beta-hydroxylase	LowTissSpecExpdInBrain
ASPSCR1	"ASPL, ASPS, TUG, UBXD9, UBXN9"	ENSG00000169696	"ASPSCR1, UBX domain containing tether for SLC2A4"	LowTissSpecExpdInBrain
ASTE1	HT001	ENSG00000034533	Asteroid homolog 1	LowTissSpecExpdInBrain
ASTN2	KIAA0634	ENSG00000148219	Astrotactin 2	LowTissSpecExpdInBrain
ASXL1	KIAA0978	ENSG00000171456	"Additional sex combs like 1, transcriptional regulator"	LowTissSpecExpdInBrain
ASXL2	"ASXH2, FLJ10898, KIAA1685"	ENSG00000143970	"Additional sex combs like 2, transcriptional regulator"	LowTissSpecExpdInBrain
ATAD1	FLJ14600	ENSG00000138138	"ATPase family, AAA domain containing 1"	LowTissSpecExpdInBrain
ATAD2B	KIAA1240	ENSG00000119778	"ATPase family, AAA domain containing 2B"	LowTissSpecExpdInBrain
ATAD3A	FLJ10709	ENSG00000197785	"ATPase family, AAA domain containing 3A"	LowTissSpecExpdInBrain
ATAD3B	"KIAA1273, TOB3"	ENSG00000160072	"ATPase family, AAA domain containing 3B"	LowTissSpecExpdInBrain
ATAD3C	FLJ34599	ENSG00000215915	"ATPase family, AAA domain containing 3C"	LowTissSpecExpdInBrain
ATAT1	"C6orf134, Em:AB023049.7, FLJ13158, MEC17"	ENSG00000137343	Alpha tubulin acetyltransferase 1	LowTissSpecExpdInBrain
ATE1		ENSG00000107669	Arginyltransferase 1	LowTissSpecExpdInBrain
ATF1	TREB36	ENSG00000123268	Activating transcription factor 1	LowTissSpecExpdInBrain
ATF2	"CRE-BP1, CREB2, HB16, TREB7"	ENSG00000115966	Activating transcription factor 2	LowTissSpecExpdInBrain
ATF4	"CREB-2, TAXREB67, TXREB"	ENSG00000128272	Activating transcription factor 4	LowTissSpecExpdInBrain
ATF6	ATF6A	ENSG00000118217	Activating transcription factor 6	LowTissSpecExpdInBrain
ATF6B	"CREBL1, G13"	ENSG00000213676	Activating transcription factor 6 beta	LowTissSpecExpdInBrain
ATF7	ATFA	ENSG00000170653	Activating transcription factor 7	LowTissSpecExpdInBrain
ATF7IP	"FLJ10688, p621"	ENSG00000171681	Activating transcription factor 7 interacting protein	LowTissSpecExpdInBrain
ATG10	"APG10L, DKFZP586I0418, FLJ13954"	ENSG00000152348	Autophagy related 10	LowTissSpecExpdInBrain
ATG101	"C12orf44, FLJ11773"	ENSG00000123395	Autophagy related 101	LowTissSpecExpdInBrain
ATG12	"APG12, APG12L"	ENSG00000145782	Autophagy related 12	LowTissSpecExpdInBrain
ATG13	KIAA0652	ENSG00000175224	Autophagy related 13	LowTissSpecExpdInBrain
ATG14	"ATG14L, KIAA0831"	ENSG00000126775	Autophagy related 14	LowTissSpecExpdInBrain
ATG16L1	"APG16L, ATG16A, ATG16L, FLJ10035, WDR30"	ENSG00000085978	Autophagy related 16 like 1	LowTissSpecExpdInBrain
ATG2B	"C14orf103, FLJ10242"	ENSG00000066739	Autophagy related 2B	LowTissSpecExpdInBrain
ATG3	"APG3L, DKFZp564M1178, FLJ22125, MGC15201, PC3-96"	ENSG00000144848	Autophagy related 3	LowTissSpecExpdInBrain
ATG4A	"APG4A, AUTL2"	ENSG00000101844	Autophagy related 4A cysteine peptidase	LowTissSpecExpdInBrain
ATG4B	"Apg4B, AUTL1, DKFZp586D1822, KIAA0943"	ENSG00000168397	Autophagy related 4B cysteine peptidase	LowTissSpecExpdInBrain
ATG4C	"APG4C, AUTL1, AUTL3, FLJ14867"	ENSG00000125703	Autophagy related 4C cysteine peptidase	LowTissSpecExpdInBrain
ATG4D	"APG4-D, APG4D, AUTL4"	ENSG00000130734	Autophagy related 4D cysteine peptidase	LowTissSpecExpdInBrain
ATG5	"APG5, APG5L, ASP, hAPG5"	ENSG00000057663	Autophagy related 5	LowTissSpecExpdInBrain
ATG7	"APG7L, DKFZp434N0735, GSA7"	ENSG00000197548	Autophagy related 7	LowTissSpecExpdInBrain
ATG9A	"APG9L1, FLJ22169"	ENSG00000198925	Autophagy related 9A	LowTissSpecExpdInBrain
ATIC	"AICARFT, IMPCHASE, PURH"	ENSG00000138363	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	LowTissSpecExpdInBrain
ATL2	ARL6IP2	ENSG00000119787	Atlastin GTPase 2	LowTissSpecExpdInBrain
ATL3	DKFZP564J0863	ENSG00000184743	Atlastin GTPase 3	LowTissSpecExpdInBrain
ATM	"ATA, ATC, ATD, ATDC, TEL1, TELO1"	ENSG00000149311	ATM serine/threonine kinase	LowTissSpecExpdInBrain
ATMIN	"ASCIZ, KIAA0431, ZNF822"	ENSG00000166454	ATM interactor	LowTissSpecExpdInBrain
ATN1	"B37, D12S755E, DRPLA"	ENSG00000111676	Atrophin 1	LowTissSpecExpdInBrain
ATOX1	HAH1	ENSG00000177556	Antioxidant 1 copper chaperone	LowTissSpecExpdInBrain
ATP10A	"ATP10C, ATPVA, ATPVC, KIAA0566"	ENSG00000206190	ATPase phospholipid transporting 10A (putative)	LowTissSpecExpdInBrain
ATP11A	"ATPIH, ATPIS, KIAA1021"	ENSG00000068650	ATPase phospholipid transporting 11A	LowTissSpecExpdInBrain
ATP11B	"ATPIF, ATPIR, KIAA0956"	ENSG00000058063	ATPase phospholipid transporting 11B (putative)	LowTissSpecExpdInBrain
ATP11C	"ATPIG, ATPIQ"	ENSG00000101974	ATPase phospholipid transporting 11C	LowTissSpecExpdInBrain
ATP13A1	"ATP13A, CGI-152, FLJ31858, KIAA1825"	ENSG00000105726	ATPase 13A1	LowTissSpecExpdInBrain
ATP13A3	AFURS1	ENSG00000133657	ATPase 13A3	LowTissSpecExpdInBrain
ATP1B3	"CD298, FLJ29027"	ENSG00000069849	ATPase Na+/K+ transporting subunit beta 3	LowTissSpecExpdInBrain
ATP2B4	"ATP2B2, MXRA1, PMCA4"	ENSG00000058668	ATPase plasma membrane Ca2+ transporting 4	LowTissSpecExpdInBrain
ATP2C1	"ATP2C1A, BCPM, KIAA1347, PMR1, SPCA1"	ENSG00000017260	ATPase secretory pathway Ca2+ transporting 1	LowTissSpecExpdInBrain
